CURRENT_PUBLISHER,PUBLISHER,SOURCE,IGNORE
European Food Safety Authority,European Food Safety Authority,,
European Group for Blood and Marrow Transplantation (EBMT),European Group for Blood and Marrow Transplantation (EBMT),,
European Group on Ethics in Science and New Technologies to the European Commission,European Group on Ethics in Science and New Technologies to the European Commission,,
European Health Management Association,European Health Management Association,,
European Health Telematics Association,European Health Telematics Association,,
European Heart Network,European Heart Network,,
European Helicobacter Study Group,European Helicobacter Study Group,,
European Herbal Practitioner Association,European Herbal Practitioner Association,,
European Hospital and Healthcare Federation (HOPE),European Hospital and Healthcare Federation (HOPE),,
European Institute of Innovation & Technology,European Institute of Innovation and Technology,,
European Institute of TeleSurgery,European Institute of TeleSurgery,,
European Journal of Cancer,Elsevier,European Journal of Cancer,
European Journal of Cancer Care,Wiley-Blackwell,European Journal of Cancer Care,
European Journal of Cancer Prevention,Lippincott Williams and Wilkins,European Journal of Cancer Prevention,
European Journal of Cardiothoracic Surgery,Elsevier,European Journal of Cardio-thoracic Surgery,
"European Journal Of Cardiovascular Nursing, Elsevier",Elsevier,European Journal Of Cardiovascular Nursing,
European Journal of Cardiovascular Prevention and Rehabilitation,Lippincott Williams and Wilkins,European Journal of Cardiovascular Prevention & Rehabilitation,
European Journal of Clinical Investigation,Wiley-Blackwell,European Journal of Clinical Investigation,
European Journal of Clinical Pharmocology,Springer,European Journal of Clinical Pharmacology,
The european journal of contraception and reproductive health,Informa Healthcare,European Journal of Contraception and Reproductive Health,
European Journal of Endocrinology,BioScientifica,European Journal of Endocrinology,
European Journal of ePractice,ePractice.eu,European Journal of ePractice,
"European Journal of Heart Failure, Oxford Journals",Oxford University Press,European Journal of Heart Failure,
European journal of human genetics,Nature Publishing Group,European journal of human genetics,
European Journal of Innovation Management,Emerald Insight,European Journal of Innovation Management,
European Journal of Nuclear Medicine and Molecular Imaging,Springer,European Journal of Nuclear Medicine and Molecular Imaging,
European Journal of Oncology Nursing,Elsevier,European Journal of Oncology Nursing,
European Journal of Oral Sciences,Wiley-Blackwell,European Journal of Oral Sciences,
European Journal of Orthodontics,Oxford University Press,European Journal of Orthodontics,
European Journal of Pain,Elsevier,European Journal of Pain,
European Journal of Physical and Rehabilitation Medicine,Edizioni Minerva Medica,European Journal of Physical and Rehabilitation Medicine,
European Journal of Public Health,Oxford University Press,European Journal of Public Health,
European Journal of Work and Organizational Psychology,Taylor and Francis Group,European Journal of Work & Organizational Psychology,
European Lung Foundation (ELF),European Lung Foundation (ELF),,
European Medicines Agency,European Medicines Agency,,
European Monitoring Centre for Drugs and Drug Addiction,European Monitoring Centre for Drugs and Drug Addiction,,
European Neuroendocrine Tumor Society (ENETS),European Neuroendocrine Tumor Society (ENETS),,
European Observatory on Health Systems and Policies,European Observatory on Health Systems and Policies,,
European Organisation for Rare Diseases (EURORDIS),European Organisation for Rare Diseases (EURORDIS),,
European Porphyria Initiative,European Porphyria Initiative,,
European Psychiatry: the Journal of the Association of European Psychiatrists,Association of European Psychiatrists,European Psychiatry,
European Renal Genome Project,European Renal Genome Project,,
European Respiratory Society (ERS),European Respiratory Society (ERS),,
The European Respiratory Society,European Respiratory Society (ERS),,
European Respiratory Society (ERS) and European Lung Foundation,European Respiratory Society (ERS),,
European Resuscitation Council,European Resuscitation Council,,
European review for medical and pharmacological sciences,Verduci Editore,European Review for Medical and Pharmacological Sciences,
European Society for Vascular Surgery,European Society for Vascular Surgery,,
European Society of Cardiology,European Society of Cardiology,,
"European society of Cardiology, European Association for the Study of Diabetes",European Society of Cardiology,,
European Society of Gastrointestinal Endoscopy,European Society of Gastrointestinal Endoscopy,,
European Society of Human Genetics (ESHG),European Society of Human Genetics (ESHG),,
European Society of Human Reproduction and Embryology,European Society of Human Reproduction and Embryology,,
European Society of Intensive Care Medicine,European Society of Intensive Care Medicine,,
European Spine Journal,Springer,European Spine Journal,
European Stroke Organisation,European Stroke Organisation,,
European Union,European Union,,
European Union Geriatric Medicine Society,European Union Geriatric Medicine Society,,
The European Working Group for Legionella Infections,European Working Group for Legionella Infections,,
Euro-Peristat,Euro-Peristat,,
EuroSafe: European Association for Injury and Safety Promotion,EuroSafe: European Association for Injury and Safety Promotion,,
euroSCORE,euroSCORE,,
Eurosurveillance,European Centre for Disease Prevention and Control,Eurosurveillance,
EUROTHINE,EUROTHINE,,
EUVAS,EUVAS,,
Every Child Matters,Every Child Matters,,
"Evidence Based Complementary and Alternative Medicine, Oxford Journals",Oxford University Press,Evidence Based Complementary and Alternative Medicine,
Evidence Based Dentistry,Nature Publishing Group,Evidence Based Dentistry,
"Evidence Based Medicine, BMJ Publishing Group",BMJ Group,Evidence Based Medicine,
Evidence Based Mental Health / BMJ Publishing Group,BMJ Group,Evidence Based Mental Health,
Evidence Based Nursing,BMJ Group,Evidence Based Nursing,
Evidence for Policy and Practice Information and Co-ordinating Centre (EPPI-Centre),Evidence for Policy and Practice Information and Co-ordinating Centre (EPPI-Centre),,
The Evidence for Policy and Practice Information and Co-ordinating Centre (EPPI-Centre),Evidence for Policy and Practice Information and Co-ordinating Centre (EPPI-Centre),,
Evidis,,,1
Excerpta Medica,Excerpta Medica,,
Executive Agency for Health and Consumers,Executive Agency for Health and Consumers,,
Experience Matters,,,1
Experimental Cancer Medicine Centre Initiative,Experimental Cancer Medicine Centre Initiative,,
Expert Opinion in Pharmacotherapy,Informa Healthcare,Expert Opinion on Pharmacology,
Expert opinion on drug safety,Informa Healthcare,Expert opinion on drug safety,
Expert opinion on investigational drugs,Informa Healthcare,Expert opinion on investigational drugs,
Expert Opinion on Pharmacology,Informa Healthcare,Expert Opinion on Pharmacology,
Expert Opinion on Pharmacotherapy,Informa Healthcare,Expert Opinion on Pharmacotherapy,
Expert Patients Programme,Expert Patients Programme,,
Expert Reviews Ltd,Expert Reviews Ltd,,
Eye,Nature Publishing Group,Eye,
"F K Schattauer Verlag, Nuklearmedizin",,,1
Faculty & Institute of Actuaries (Actuarial Profession),Faculty and Institute of Actuaries (Actuarial Profession),,
Faculty of Family Planning and Reproductive Healthcare Expert Consensus Meeting Practice Recommendation,Faculty of Family Planning and Reproductive Healthcare Expert Consensus Meeting Practice Recommendation,,
Faculty of Family Planning and Reproductive Healthcare of the Royal College of Obstetricians and Gynaecologists,Faculty of Family Planning and Reproductive Healthcare of the Royal College of Obstetricians and Gynaecologists,,
"Faculty of Health and Behavioural Sciences, Deakin University","Faculty of Health and Behavioural Sciences, Deakin University",,
Faculty of Homeopathy,Faculty of Homeopathy,,
Faculty of Pre-Hospital Care,Faculty of Pre-Hospital Care,,
Faculty of Public Health,Faculty of Public Health,,
Faculty of Sexual and Reproductive Healthcare,Faculty of Sexual and Reproductive Healthcare,,
Faculty of the Virginia Polytechnic Institute and State University,Faculty of the Virginia Polytechnic Institute and State University,,
FAIR,FAIR,,
Familial Cancer,Springer,Familial Cancer,
Family & Community Health,Lippincott Williams and Wilkins,Family & Community Health,
Family Medicine,Society of Teachers of Family Medicine,Family Medicine,
Family Planning Association,Family Planning Association,,
Family Practice,Oxford University Press,Family Practice,
"Federal Centre for Health Promotion, Germany","Federal Centre for Health Promotion, Germany",,
"Federal University, Rio de Janeiro","Federal University, Rio de Janeiro",,
Federation of American Scientists,Federation of American Scientists,,
Fetal Medicine Foundation,Fetal Medicine Foundation,,
FibroAction,FibroAction,,
Fibromyalgia Association UK,Fibromyalgia Association UK,,
Fife Council,Fife Council,,
Financial Times,Financial Times,,1
Fire Service College,Fire Service College,,
First Person Plural,First Person Plural,,
FirstStop,FirstStop,,
Fit for Work Europe,Fit for Work Europe,,
Folk.us,Folk.us,,
Food and Agriculture Organization of the United Nations,Food and Agriculture Organization of the United Nations,,
Food and Drug Administration,Food and Drug Administration,,
The Food Commission,Food Commission,,
Food Standards Agency,Food Standards Agency,,
The Food Standards Agency,Food Standards Agency,,
Foot In Diabetes UK,Foot In Diabetes UK,,
Foreign and Commonwealth Office,Foreign and Commonwealth Office,,
ForeSight,ForeSight,,
Formulary,Advanstar Communications Inc,Formulary,
"Forrester, P",Humana,The Commissioning Institute,
Forsch Komplementarmed,Karger,Forsch Komplementarmed,
Forschende Komplementarmedizin,Karger,Forschende Komplementarmedizin,
"Forth Valley Audiology Department, Oticon UK and Phonak iLearn","Forth Valley Audiology Department, Oticon UK and Phonak iLearn",,
Fortschritte der Medizin,Urban & Vogel,MMW-Fortschritte der Medizin,
Forum for Associate Specialists and Staff Grades in emergency Medicine (FASSGEM).,,,1
Foundation Fighting Blindness (US),Foundation Fighting Blindness (US),,
Foundation for Ichthyosis & Related Skin Types (FIRST),Foundation for Ichthyosis and Related Skin Types (FIRST),,
Foundation for Informed Medical Decision Making,Foundation for Informed Medical Decision Making,,
Foundation for Liver Research,Foundation for Liver Research,,
Foundation for People with Learning Disabilities,Foundation for People with Learning Disabilities,,
The Foundation for People with Learning Disabilities,Foundation for People with Learning Disabilities,,
Foundation for the Study of Infant Deaths (FSID),Foundation for the Study of Infant Deaths (FSID),,
Foundation of Nursing Leadership,Foundation of Nursing Leadership,,
Foundation of Nursing Studies,Foundation of Nursing Studies,,
Foundation Trust Network,Foundation Trust Network,,
